id,statuses_count,followers_count,friends_count,favourites_count,listed_count,created_at,url,lang,time_zone,location,default_profile,geo_enabled,profile_banner_url,profile_use_background_image,fake,gender_code,description_length,followers_to_friends_ratio
3610511.0,20370.0,5470.0,2385.0,145.0,52.0,0.0,1.0,5.0,28.0,1005.0,0.0,0.0,1.0,1.0,0.0,2.0,151.0,2.293501048218029
5656162.0,3131.0,506.0,381.0,9.0,40.0,322.0,1.0,1.0,28.0,1021.0,0.0,0.0,0.0,1.0,0.0,-2.0,104.0,1.3280839895013123
5682702.0,4024.0,264.0,87.0,323.0,16.0,2423.0,1.0,1.0,28.0,551.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,3.0344827586206895
6067292.0,40586.0,640.0,622.0,1118.0,32.0,2435.0,1.0,1.0,28.0,1389.0,0.0,1.0,1.0,1.0,0.0,0.0,36.0,1.0289389067524115
6015122.0,2016.0,62.0,64.0,13.0,0.0,1883.0,1.0,5.0,28.0,1459.0,0.0,1.0,0.0,1.0,0.0,2.0,14.0,0.96875
6140012.0,3603.0,138.0,179.0,53.0,1.0,231.0,0.0,5.0,28.0,1017.0,0.0,1.0,0.0,1.0,0.0,0.0,37.0,0.770949720670391
6134312.0,1183.0,128.0,168.0,2.0,5.0,230.0,0.0,1.0,28.0,739.0,0.0,1.0,0.0,1.0,0.0,0.0,147.0,0.7619047619047619
6684602.0,6194.0,1062.0,1770.0,597.0,5.0,176.0,0.0,5.0,28.0,1389.0,0.0,1.0,0.0,1.0,0.0,0.0,63.0,0.6
7046912.0,10962.0,23368.0,958.0,590.0,715.0,1643.0,1.0,1.0,28.0,1457.0,0.0,1.0,1.0,0.0,0.0,2.0,68.0,24.39248434237996
7470952.0,10947.0,760.0,712.0,693.0,27.0,832.0,0.0,5.0,28.0,280.0,0.0,1.0,1.0,0.0,0.0,2.0,122.0,1.0674157303370786
8072492.0,2754.0,477.0,218.0,224.0,13.0,1977.0,1.0,5.0,28.0,572.0,0.0,1.0,1.0,1.0,0.0,0.0,159.0,2.188073394495413
8291932.0,26713.0,1390.0,1177.0,914.0,68.0,1427.0,1.0,1.0,1.0,1014.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,1.1809685641461343
8858022.0,4111.0,314.0,338.0,47.0,8.0,2170.0,0.0,5.0,28.0,1021.0,0.0,1.0,1.0,1.0,0.0,2.0,88.0,0.9289940828402367
8927532.0,1441.0,97.0,203.0,25.0,2.0,701.0,1.0,5.0,28.0,723.0,0.0,1.0,0.0,1.0,0.0,2.0,83.0,0.47783251231527096
8933252.0,1698.0,289.0,1930.0,45.0,3.0,702.0,0.0,5.0,13.0,1389.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.14974093264248706
9351052.0,402.0,93.0,78.0,36.0,4.0,2739.0,1.0,5.0,28.0,771.0,0.0,0.0,0.0,1.0,0.0,2.0,43.0,1.1923076923076923
9564632.0,16935.0,2242.0,918.0,44.0,124.0,1368.0,1.0,1.0,28.0,1021.0,0.0,1.0,1.0,1.0,0.0,-2.0,41.0,2.4422657952069717
9939012.0,9437.0,689.0,891.0,199.0,37.0,1890.0,1.0,5.0,1.0,1315.0,0.0,1.0,1.0,1.0,0.0,0.0,154.0,0.7732884399551067
9993142.0,3742.0,505.0,571.0,100.0,3.0,2450.0,0.0,5.0,28.0,1660.0,0.0,0.0,1.0,1.0,0.0,0.0,107.0,0.8844133099824869
10492262.0,770.0,81.0,181.0,89.0,2.0,256.0,0.0,5.0,15.0,682.0,0.0,1.0,1.0,1.0,0.0,-2.0,134.0,0.44751381215469616
11176152.0,1430.0,128.0,371.0,204.0,1.0,47.0,0.0,5.0,28.0,888.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.3450134770889488
13260592.0,6996.0,899.0,305.0,346.0,28.0,67.0,1.0,1.0,28.0,723.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,2.9475409836065576
14057516.0,3284.0,375.0,1039.0,1.0,8.0,2034.0,0.0,1.0,28.0,1389.0,0.0,0.0,0.0,1.0,0.0,0.0,95.0,0.36092396535129934
14112759.0,160.0,46.0,146.0,22.0,0.0,616.0,1.0,3.0,25.0,1115.0,1.0,1.0,0.0,1.0,0.0,2.0,17.0,0.3150684931506849
14492555.0,292.0,57.0,110.0,5.0,0.0,2521.0,1.0,1.0,13.0,726.0,1.0,1.0,0.0,1.0,0.0,2.0,46.0,0.5181818181818182
14709812.0,5876.0,616.0,647.0,1061.0,29.0,227.0,0.0,5.0,28.0,1017.0,0.0,1.0,1.0,1.0,0.0,0.0,142.0,0.9520865533230294
14865840.0,7534.0,1132.0,1096.0,6.0,52.0,2122.0,1.0,1.0,28.0,1013.0,0.0,1.0,1.0,1.0,0.0,-2.0,81.0,1.032846715328467
14958182.0,1294.0,254.0,276.0,89.0,8.0,237.0,1.0,5.0,28.0,796.0,0.0,1.0,1.0,1.0,0.0,0.0,116.0,0.9202898550724637
15016610.0,6340.0,298.0,419.0,5.0,15.0,2071.0,1.0,1.0,28.0,723.0,0.0,1.0,1.0,1.0,0.0,2.0,68.0,0.711217183770883
15271419.0,5472.0,6352.0,3873.0,65.0,11.0,1865.0,1.0,5.0,28.0,1529.0,0.0,1.0,0.0,1.0,0.0,2.0,157.0,1.6400722953782598
15391421.0,22540.0,2065.0,1125.0,0.0,64.0,161.0,1.0,5.0,28.0,1051.0,0.0,1.0,1.0,1.0,0.0,0.0,91.0,1.8355555555555556
15836275.0,732.0,85.0,338.0,16.0,3.0,2531.0,1.0,1.0,28.0,1331.0,0.0,1.0,1.0,1.0,0.0,0.0,42.0,0.2514792899408284
15873303.0,38781.0,623.0,323.0,1209.0,22.0,746.0,1.0,1.0,28.0,1021.0,0.0,1.0,1.0,1.0,0.0,0.0,143.0,1.9287925696594428
16093829.0,10451.0,1265.0,323.0,38.0,24.0,2498.0,1.0,5.0,28.0,726.0,0.0,1.0,1.0,1.0,0.0,0.0,151.0,3.91640866873065
16591972.0,2784.0,256.0,873.0,284.0,2.0,1356.0,1.0,5.0,28.0,1528.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,0.293241695303551
16927266.0,823.0,43.0,109.0,5.0,1.0,2157.0,0.0,5.0,28.0,738.0,0.0,0.0,0.0,1.0,0.0,2.0,15.0,0.3944954128440367
17654864.0,442.0,79.0,259.0,0.0,3.0,2730.0,1.0,1.0,28.0,648.0,1.0,0.0,0.0,1.0,0.0,0.0,44.0,0.305019305019305
17852114.0,350.0,86.0,131.0,116.0,3.0,2544.0,0.0,1.0,18.0,1261.0,0.0,1.0,1.0,1.0,0.0,-2.0,151.0,0.6564885496183206
18173213.0,3694.0,393.0,1047.0,6.0,8.0,2243.0,1.0,1.0,11.0,715.0,0.0,0.0,0.0,1.0,0.0,0.0,159.0,0.3753581661891118
18527544.0,9686.0,208.0,196.0,219.0,4.0,2035.0,1.0,5.0,28.0,1389.0,0.0,1.0,1.0,1.0,0.0,0.0,75.0,1.0612244897959184
18671285.0,16427.0,555.0,755.0,8.0,18.0,2273.0,1.0,1.0,28.0,27.0,0.0,1.0,1.0,1.0,0.0,-2.0,51.0,0.7350993377483444
18735790.0,1006.0,85.0,121.0,19.0,1.0,2581.0,1.0,1.0,28.0,763.0,0.0,1.0,1.0,1.0,0.0,-2.0,75.0,0.7024793388429752
18800245.0,1122.0,300.0,951.0,8.0,6.0,139.0,1.0,5.0,13.0,1252.0,0.0,1.0,0.0,1.0,0.0,0.0,32.0,0.31545741324921134
19598248.0,1386.0,88.0,267.0,106.0,0.0,2291.0,1.0,1.0,1.0,1028.0,0.0,1.0,1.0,1.0,0.0,0.0,25.0,0.3295880149812734
21102000.0,18267.0,1964.0,2003.0,22732.0,4.0,2262.0,1.0,5.0,28.0,1109.0,0.0,1.0,1.0,1.0,0.0,0.0,134.0,0.9805292061907139
21770069.0,15365.0,3813.0,1505.0,550.0,63.0,2266.0,1.0,1.0,28.0,26.0,0.0,1.0,1.0,1.0,0.0,2.0,121.0,2.5335548172757476
22015750.0,2242.0,552.0,1446.0,13.0,8.0,2033.0,0.0,1.0,25.0,900.0,0.0,1.0,0.0,1.0,0.0,2.0,146.0,0.3817427385892116
22136015.0,4149.0,279.0,64.0,20.0,22.0,133.0,0.0,1.0,28.0,564.0,0.0,0.0,1.0,1.0,0.0,0.0,110.0,4.359375
22203964.0,8384.0,2526.0,299.0,1178.0,41.0,134.0,1.0,5.0,28.0,719.0,0.0,1.0,1.0,1.0,0.0,2.0,148.0,8.448160535117056
22508731.0,612.0,100.0,259.0,24.0,2.0,609.0,0.0,5.0,28.0,996.0,0.0,1.0,0.0,1.0,0.0,0.0,33.0,0.3861003861003861
22627606.0,660.0,126.0,407.0,0.0,0.0,2408.0,1.0,1.0,28.0,1487.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,0.3095823095823096
22985259.0,5287.0,849.0,1846.0,117.0,3.0,2113.0,0.0,5.0,28.0,1225.0,0.0,0.0,1.0,1.0,0.0,2.0,73.0,0.4599133261105092
23748269.0,2275.0,165.0,285.0,181.0,4.0,2687.0,0.0,1.0,28.0,164.0,0.0,0.0,0.0,1.0,0.0,-2.0,16.0,0.5789473684210527
23847948.0,3551.0,87.0,174.0,7.0,2.0,2688.0,1.0,1.0,28.0,577.0,0.0,1.0,1.0,1.0,0.0,0.0,101.0,0.5
